Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10, Spline 11, Spline 12, Spline 13, Spline 14, Spline 15, Spline 16, Spline 17, Spline 18
2.556391e-01, 0, 0, 4.559048e-01, 5.430776e-01, 1.017582e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.606516e-01, 0, 0, 4.184176e-01, 5.779518e-01, 3.630630e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.656642e-01, 0, 0, 3.825384e-01, 6.096099e-01, 7.851709e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.706767e-01, 0, 0, 3.482673e-01, 6.380519e-01, 1.368082e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.756892e-01, 0, 0, 3.156042e-01, 6.632779e-01, 2.111796e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.807018e-01, 0, 0, 2.845491e-01, 6.852878e-01, 3.016313e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.857143e-01, 0, 0, 2.551020e-01, 7.040816e-01, 4.081633e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.907268e-01, 0, 0, 2.272630e-01, 7.196594e-01, 5.307756e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.957393e-01, 0, 0, 2.010320e-01, 7.320212e-01, 6.694682e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.007519e-01, 0, 0, 1.764091e-01, 7.411668e-01, 8.242411e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.057644e-01, 0, 0, 1.533941e-01, 7.470964e-01, 9.950943e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.107769e-01, 0, 0, 1.319872e-01, 7.498100e-01, 1.182028e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.157895e-01, 0, 0, 1.121884e-01, 7.493075e-01, 1.385042e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.208020e-01, 0, 0, 9.399753e-02, 7.455889e-01, 1.604136e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.258145e-01, 0, 0, 7.741471e-02, 7.386543e-01, 1.839310e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
