Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10
4.070352e-01, 0, 0, 0, 2.765587e-01, 6.906012e-01, 3.284008e-02, 0, 0, 0, 0, 
4.120603e-01, 0, 0, 0, 2.474685e-01, 7.085806e-01, 4.395091e-02, 0, 0, 0, 0, 
4.170854e-01, 0, 0, 0, 2.199944e-01, 7.233277e-01, 5.667786e-02, 0, 0, 0, 0, 
4.221106e-01, 0, 0, 0, 1.941365e-01, 7.348426e-01, 7.102093e-02, 0, 0, 0, 0, 
4.271357e-01, 0, 0, 0, 1.698947e-01, 7.431252e-01, 8.698013e-02, 0, 0, 0, 0, 
4.321608e-01, 0, 0, 0, 1.472690e-01, 7.481756e-01, 1.045554e-01, 0, 0, 0, 0, 
4.371859e-01, 0, 0, 0, 1.262594e-01, 7.499937e-01, 1.237469e-01, 0, 0, 0, 0, 
4.422111e-01, 0, 0, 0, 1.068660e-01, 7.485796e-01, 1.445544e-01, 0, 0, 0, 0, 
4.472362e-01, 0, 0, 0, 8.908866e-02, 7.439332e-01, 1.669781e-01, 0, 0, 0, 0, 
4.522613e-01, 0, 0, 0, 7.292745e-02, 7.360546e-01, 1.910179e-01, 0, 0, 0, 0, 
4.572864e-01, 0, 0, 0, 5.838236e-02, 7.249438e-01, 2.166738e-01, 0, 0, 0, 0, 
4.623116e-01, 0, 0, 0, 4.545340e-02, 7.106007e-01, 2.439459e-01, 0, 0, 0, 0, 
4.673367e-01, 0, 0, 0, 3.414055e-02, 6.930254e-01, 2.728340e-01, 0, 0, 0, 0, 
4.723618e-01, 0, 0, 0, 2.444383e-02, 6.722179e-01, 3.033383e-01, 0, 0, 0, 0, 
4.773869e-01, 0, 0, 0, 1.636322e-02, 6.481781e-01, 3.354587e-01, 0, 0, 0, 0, 
4.824121e-01, 0, 0, 0, 9.898740e-03, 6.209060e-01, 3.691952e-01, 0, 0, 0, 0, 
4.874372e-01, 0, 0, 0, 5.050378e-03, 5.904018e-01, 4.045479e-01, 0, 0, 0, 0, 
4.924623e-01, 0, 0, 0, 1.818136e-03, 5.566652e-01, 4.415166e-01, 0, 0, 0, 0, 
4.974874e-01, 0, 0, 0, 2.020151e-04, 5.196965e-01, 4.801015e-01, 0, 0, 0, 0, 
5.025126e-01, 0, 0, 0, 0, 4.801015e-01, 5.196965e-01, 2.020151e-04, 0, 0, 0, 
5.075377e-01, 0, 0, 0, 0, 4.415166e-01, 5.566652e-01, 1.818136e-03, 0, 0, 0, 
5.125628e-01, 0, 0, 0, 0, 4.045479e-01, 5.904018e-01, 5.050378e-03, 0, 0, 0, 
5.175879e-01, 0, 0, 0, 0, 3.691952e-01, 6.209060e-01, 9.898740e-03, 0, 0, 0, 
5.226131e-01, 0, 0, 0, 0, 3.354587e-01, 6.481781e-01, 1.636322e-02, 0, 0, 0, 
5.276382e-01, 0, 0, 0, 0, 3.033383e-01, 6.722179e-01, 2.444383e-02, 0, 0, 0, 
5.326633e-01, 0, 0, 0, 0, 2.728340e-01, 6.930254e-01, 3.414055e-02, 0, 0, 0, 
5.376884e-01, 0, 0, 0, 0, 2.439459e-01, 7.106007e-01, 4.545340e-02, 0, 0, 0, 
5.427136e-01, 0, 0, 0, 0, 2.166738e-01, 7.249438e-01, 5.838236e-02, 0, 0, 0, 
5.477387e-01, 0, 0, 0, 0, 1.910179e-01, 7.360546e-01, 7.292745e-02, 0, 0, 0, 
5.527638e-01, 0, 0, 0, 0, 1.669781e-01, 7.439332e-01, 8.908866e-02, 0, 0, 0, 
5.577889e-01, 0, 0, 0, 0, 1.445544e-01, 7.485796e-01, 1.068660e-01, 0, 0, 0, 
5.628141e-01, 0, 0, 0, 0, 1.237469e-01, 7.499937e-01, 1.262594e-01, 0, 0, 0, 
5.678392e-01, 0, 0, 0, 0, 1.045554e-01, 7.481756e-01, 1.472690e-01, 0, 0, 0, 
5.728643e-01, 0, 0, 0, 0, 8.698013e-02, 7.431252e-01, 1.698947e-01, 0, 0, 0, 
5.778894e-01, 0, 0, 0, 0, 7.102093e-02, 7.348426e-01, 1.941365e-01, 0, 0, 0, 
5.829146e-01, 0, 0, 0, 0, 5.667786e-02, 7.233277e-01, 2.199944e-01, 0, 0, 0, 
5.879397e-01, 0, 0, 0, 0, 4.395091e-02, 7.085806e-01, 2.474685e-01, 0, 0, 0, 
5.929648e-01, 0, 0, 0, 0, 3.284008e-02, 6.906012e-01, 2.765587e-01, 0, 0, 0, 
5.979899e-01, 0, 0, 0, 0, 2.334537e-02, 6.693897e-01, 3.072650e-01, 0, 0, 0, 
6.030151e-01, 0, 0, 0, 0, 1.546678e-02, 6.449458e-01, 3.395874e-01, 0, 0, 0, 
6.080402e-01, 0, 0, 0, 0, 9.204313e-03, 6.172698e-01, 3.735259e-01, 0, 0, 0, 
6.130653e-01, 0, 0, 0, 0, 4.557966e-03, 5.863615e-01, 4.090806e-01, 0, 0, 0, 
6.180905e-01, 0, 0, 0, 0, 1.527739e-03, 5.522209e-01, 4.462514e-01, 0, 0, 0, 
6.231156e-01, 0, 0, 0, 0, 1.136335e-04, 5.148481e-01, 4.850383e-01, 0, 0, 0, 
6.281407e-01, 0, 0, 0, 0, 0, 4.751900e-01, 5.244943e-01, 3.156486e-04, 0, 0, 
6.331658e-01, 0, 0, 0, 0, 0, 4.368072e-01, 5.610591e-01, 2.133785e-03, 0, 0, 
6.381910e-01, 0, 0, 0, 0, 0, 4.000404e-01, 5.943916e-01, 5.568041e-03, 0, 0, 
6.432161e-01, 0, 0, 0, 0, 0, 3.648898e-01, 6.244918e-01, 1.061842e-02, 0, 0, 
6.482412e-01, 0, 0, 0, 0, 0, 3.313553e-01, 6.513598e-01, 1.728492e-02, 0, 0, 
6.532663e-01, 0, 0, 0, 0, 0, 2.994369e-01, 6.749956e-01, 2.556754e-02, 0, 0, 
6.582915e-01, 0, 0, 0, 0, 0, 2.691346e-01, 6.953991e-01, 3.546628e-02, 0, 0, 
6.633166e-01, 0, 0, 0, 0, 0, 2.404485e-01, 7.125704e-01, 4.698114e-02, 0, 0, 
6.683417e-01, 0, 0, 0, 0, 0, 2.133785e-01, 7.265094e-01, 6.011212e-02, 0, 0, 
6.733668e-01, 0, 0, 0, 0, 0, 1.879245e-01, 7.372162e-01, 7.485922e-02, 0, 0, 
6.783920e-01, 0, 0, 0, 0, 0, 1.640868e-01, 7.446908e-01, 9.122244e-02, 0, 0, 
6.834171e-01, 0, 0, 0, 0, 0, 1.418651e-01, 7.489331e-01, 1.092018e-01, 0, 0, 
6.884422e-01, 0, 0, 0, 0, 0, 1.212596e-01, 7.499432e-01, 1.287973e-01, 0, 0, 
6.934673e-01, 0, 0, 0, 0, 0, 1.022701e-01, 7.477210e-01, 1.500088e-01, 0, 0, 
6.984925e-01, 0, 0, 0, 0, 0, 8.489685e-02, 7.422666e-01, 1.728365e-01, 0, 0, 
7.035176e-01, 0, 0, 0, 0, 0, 6.913967e-02, 7.335800e-01, 1.972804e-01, 0, 0, 
7.085427e-01, 0, 0, 0, 0, 0, 5.499861e-02, 7.216611e-01, 2.233403e-01, 0, 0, 
7.135678e-01, 0, 0, 0, 0, 0, 4.247367e-02, 7.065099e-01, 2.510164e-01, 0, 0, 
7.185930e-01, 0, 0, 0, 0, 0, 3.156486e-02, 6.881266e-01, 2.803086e-01, 0, 0, 
7.236181e-01, 0, 0, 0, 0, 0, 2.227216e-02, 6.665109e-01, 3.112169e-01, 0, 0, 
7.286432e-01, 0, 0, 0, 0, 0, 1.459559e-02, 6.416631e-01, 3.437413e-01, 0, 0, 
7.336683e-01, 0, 0, 0, 0, 0, 8.535138e-03, 6.135830e-01, 3.778819e-01, 0, 0, 
7.386935e-01, 0, 0, 0, 0, 0, 4.090806e-03, 5.822706e-01, 4.136385e-01, 0, 0, 
7.437186e-01, 0, 0, 0, 0, 0, 1.262594e-03, 5.477261e-01, 4.510113e-01, 0, 0, 
7.487437e-01, 0, 0, 0, 0, 0, 5.050378e-05, 5.099492e-01, 4.900003e-01, 0, 0, 
7.537688e-01, 0, 0, 0, 0, 0, 0, 4.703038e-01, 5.292417e-01, 4.545340e-04, 0, 
7.587940e-01, 0, 0, 0, 0, 0, 0, 4.321229e-01, 5.654024e-01, 2.474685e-03, 0, 
7.638191e-01, 0, 0, 0, 0, 0, 0, 3.955582e-01, 5.983309e-01, 6.110957e-03, 0, 
7.688442e-01, 0, 0, 0, 0, 0, 0, 3.606096e-01, 6.280271e-01, 1.136335e-02, 0, 
7.738693e-01, 0, 0, 0, 0, 0, 0, 3.272771e-01, 6.544910e-01, 1.823186e-02, 0, 
7.788945e-01, 0, 0, 0, 0, 0, 0, 2.955607e-01, 6.777228e-01, 2.671650e-02, 0, 
7.839196e-01, 0, 0, 0, 0, 0, 0, 2.654605e-01, 6.977223e-01, 3.681725e-02, 0, 
7.889447e-01, 0, 0, 0, 0, 0, 0, 2.369763e-01, 7.144895e-01, 4.853413e-02, 0, 
7.939698e-01, 0, 0, 0, 0, 0, 0, 2.101083e-01, 7.280245e-01, 6.186712e-02, 0, 
7.989950e-01, 0, 0, 0, 0, 0, 0, 1.848564e-01, 7.383273e-01, 7.681624e-02, 0, 
8.040201e-01, 0, 0, 0, 0, 0, 0, 1.612207e-01, 7.453978e-01, 9.338148e-02, 0, 
8.090452e-01, 0, 0, 0, 0, 0, 0, 1.392010e-01, 7.492361e-01, 1.115628e-01, 0, 
8.140704e-01, 0, 0, 0, 0, 0, 0, 1.187975e-01, 7.498422e-01, 1.313603e-01, 0, 
8.190955e-01, 0, 0, 0, 0, 0, 0, 1.000101e-01, 7.472160e-01, 1.527739e-01, 0, 
8.241206e-01, 0, 0, 0, 0, 0, 0, 8.283882e-02, 7.413575e-01, 1.758036e-01, 0, 
